exchange_name	campaign_id	viewers	buyers
Rubicon Project	193505	2956	5
Rubicon Project	193797	14035	81
Rubicon Project	193918	43316	363
Rubicon Project	194409	22944	1313
Rubicon Project	195162	2688	2
Rubicon Project	195337	17078	15
Rubicon Project	196537	7173	12
Rubicon Project	197308	2507	6
Smart AdServer RTB+	182635	84	0
Smart AdServer RTB+	182658	48	0
Smart AdServer RTB+	185147	32	0
Smart AdServer RTB+	189132	54	1
Smart AdServer RTB+	189291	12	0
Smart AdServer RTB+	190007	14	0
Smart AdServer RTB+	190890	23	1
Smart AdServer RTB+	190894	14	0
Smart AdServer RTB+	191197	52	0
Smart AdServer RTB+	191212	5	0
Smart AdServer RTB+	191453	2	0
Smart AdServer RTB+	193505	34	0
Smart AdServer RTB+	193797	67	0
Smart AdServer RTB+	193918	114	1
Smart AdServer RTB+	194409	44	4
Smart AdServer RTB+	195162	19	0
Smart AdServer RTB+	195337	24	0
Smart AdServer RTB+	196537	25	0
Smart AdServer RTB+	197308	9	0
Sonobi	178718	1131	3
Sonobi	180636	736	0
Sonobi	182060	1012	0
Sonobi	182635	9658	6
Sonobi	182658	3826	1
Sonobi	185069	993	0
Sonobi	185147	7259	9
Sonobi	189132	11496	55
Sonobi	189291	28586	7
Sonobi	190007	16652	37
Sonobi	190890	9356	166
Sonobi	190894	7951	0
Sonobi	191197	8353	1
Sonobi	191212	2895	26
Sonobi	191453	3280	13
Sonobi	193505	839	1
Sonobi	193797	11522	69
Sonobi	193918	34176	253
Sonobi	194409	18313	1006
Sonobi	195162	1618	2
Sonobi	195337	9075	9
Sonobi	196537	6060	8
Sonobi	197308	1286	0
Sovrn	178718	179	0
Sovrn	180636	290	0
Sovrn	182060	245	0
Sovrn	182635	7843	3
Sovrn	182658	3009	3
Sovrn	185069	276	0
Sovrn	185147	4043	6
Sovrn	189132	6146	23
Sovrn	189291	16185	13
Sovrn	190007	8787	19
Sovrn	190890	3754	63
Sovrn	190894	8276	0
Sovrn	191197	6331	1
Sovrn	191212	5617	29
Sovrn	191453	2916	11
Sovrn	193505	1412	7
Sovrn	193797	5162	28
Sovrn	193918	11446	65
Sovrn	194409	7683	370
Sovrn	195162	975	1
Sovrn	195337	4099	4
Sovrn	196537	4028	7
Sovrn	197308	1057	1
Specific Media	189132	1	0
Switch Concepts	178718	87	0
Switch Concepts	180636	66	0
Switch Concepts	182060	91	0
Switch Concepts	182635	6613	2
Switch Concepts	182658	1313	1
Switch Concepts	185069	66	0
Switch Concepts	185147	2587	12
Switch Concepts	189132	6234	41
Switch Concepts	189291	11987	8
Switch Concepts	190007	7701	25
Switch Concepts	190890	4252	66
Switch Concepts	190894	4179	0
Switch Concepts	191197	3486	3
Switch Concepts	191212	1640	10
Switch Concepts	191453	1526	8
Switch Concepts	193505	1837	3
Switch Concepts	193797	6531	50
Switch Concepts	193918	15265	117
Switch Concepts	194409	11020	613
Switch Concepts	195162	1062	1
Switch Concepts	195337	7009	5
Switch Concepts	196537	2961	3
Switch Concepts	197308	936	2
Yahoo! and Partner Sites	178718	45	0
Yahoo! and Partner Sites	180636	16	0
Yahoo! and Partner Sites	182060	20	0
Yahoo! and Partner Sites	182635	1004	1
Yahoo! and Partner Sites	182658	1054	0
Yahoo! and Partner Sites	185069	22	0
Yahoo! and Partner Sites	185147	663	1
Yahoo! and Partner Sites	187433	2231	19
Yahoo! and Partner Sites	187879	4951	8
Yahoo! and Partner Sites	187977	4315	7
Yahoo! and Partner Sites	189132	3391	17
Yahoo! and Partner Sites	189291	4588	2
Yahoo! and Partner Sites	190007	2930	8
Yahoo! and Partner Sites	190890	3738	61
Yahoo! and Partner Sites	190894	1361	0
Yahoo! and Partner Sites	191197	1462	0
Yahoo! and Partner Sites	191212	127	3
Yahoo! and Partner Sites	191453	518	3
Yahoo! and Partner Sites	193505	375	0
Yahoo! and Partner Sites	193797	4284	15
Yahoo! and Partner Sites	193918	15743	117
Yahoo! and Partner Sites	194409	7305	387
Yahoo! and Partner Sites	195162	405	0
Yahoo! and Partner Sites	195337	2611	1
Yahoo! and Partner Sites	196537	2790	5
Yahoo! and Partner Sites	197308	750	1
Zenovia Exchange	178718	128	0
Zenovia Exchange	180636	9	0
Zenovia Exchange	182060	9	0
Zenovia Exchange	182635	3091	2
Zenovia Exchange	182658	1183	0
Zenovia Exchange	185069	11	0
Zenovia Exchange	185147	1605	3
Zenovia Exchange	189132	2027	8
Zenovia Exchange	189291	2589	0
Zenovia Exchange	190007	1882	6
Zenovia Exchange	190890	968	13
Zenovia Exchange	190894	416	0
Zenovia Exchange	191197	379	0
Zenovia Exchange	191212	1957	12
Zenovia Exchange	191453	1327	7
Zenovia Exchange	193505	1095	2
Zenovia Exchange	193797	1597	7
Zenovia Exchange	193918	2704	20
Zenovia Exchange	194409	1456	58
Zenovia Exchange	195162	381	0
Zenovia Exchange	195337	1023	0
Zenovia Exchange	196537	667	1
Zenovia Exchange	197308	61	0
